nts_song,spotify_track,nts_artist,spotify_artist,song_sim,artist_sim
vision of the end,Draw Of The Cards,sylvain carel,Kim Carnes,0.5294,0.5217
i see red,I See Red - 2003 Remaster,clannad,Clannad,0.5294,1.0
don't you want my love,Without Love,vera brown,Peter Brown,0.5294,0.7619
more rain,More Rain - 2020 Remaster,samurai,Samurai,0.5294,1.0
the redeemer,the rot,dean blunt,Dean Blunt,0.5263,1.0
i feel it - i hope u feel it too 009 [122 bpm],I LIKE IT IT LIT [125.858 BPM],vegyn,Vegyn,0.5263,1.0
little wing,Drifting,jimi hendrix,Jimi Hendrix,0.5263,1.0
girlfriend,Girlfriend - Remastered 1993,wings,Wings,0.5263,1.0
be with me,Be With Me - Remastered 2001,the beach boys,The Beach Boys,0.5263,1.0
vegetables,Vegetables - Remastered 2001,the beach boys,The Beach Boys,0.5263,1.0
feel flows,Feel Flows - Remastered 2009,the beach boys,The Beach Boys,0.5263,1.0
in my life,In My Life - Remastered 2009,the beatles,The Beatles,0.5263,1.0
for no one,For No One - Remastered 2009,the beatles,The Beatles,0.5263,1.0
happy daze,Rainy Day,spinner dolphins,Shuggie Otis,0.5263,0.5
linda,Linda Movement,father's children,Father's Children,0.5263,1.0
dear angie,Dear Angie - Remastered 2010,badfinger,Badfinger,0.5263,1.0
lovin' you,On My Own,the 2,The Fall,0.5263,0.6154
riff 1 [demo],Riff 1 (Demo) - 2021 Remaster,david crosby,David Crosby,0.5238,1.0
vila de santa tereza,O Samba da Minha Terra,rosinha de valencia,Rosinha De Valença,0.5238,0.9189
born slippy,Born Slippy (Nuxx) - Radio Edit,underworld,Underworld,0.5238,1.0
once bitten,Once Bitten - Original 1988 Mix,kim yaffa,Kim Yaffa,0.5238,1.0
this then we're thru,Hit the North - Part 2,ratheart,The Fall,0.5238,0.5
vila de santa tereza,O Samba da Minha Terra,rosinha de valenca,Rosinha De Valença,0.5238,0.9444
stay in love,Think of Me,mason,Madonna,0.5217,0.6667
it feels great,Earl Gray,car culture,Car Culture,0.5217,1.0
