nts_song,spotify_track,nts_artist,spotify_artist,song_sim,artist_sim
"nao tem nada, nao",Não Tem Nada Não,marcos valle,Marcos Valle,0.9697,1.0
previso do tempo,Previsão Do Tempo,marcos valle,Marcos Valle,0.9697,1.0
en hst utan namn,En häst utan namn,family four,Family Four,0.9697,1.0
touch me take me,"Touch me, take me",rita wright,Rita Wright,0.9697,1.0
crepuscule legeer,Crepuscule Leger,satoshi & makoto,Satoshi & Makoto,0.9697,1.0
dirty back roads,Dirty Back Road,b-52's,The B-52's,0.9677,0.75
this time round,This Time Around,jessica pratt,Jessica Pratt,0.9677,1.0
hagmoslo juntos,Hagámoslo Juntos,susana estrada,Susana Estrada,0.9677,1.0
shikako maru ten,Shikako MaruTen,can,CAN,0.9677,1.0
flavour crystals,Flavor Crystals,suburban lawns,Suburban Lawns,0.9677,1.0
wheels go around,Wheels Go Round,dave james,Dave James,0.9677,1.0
maracatu atmico,Maracatu Atômico,gilberto gil,Gilberto Gil,0.9677,1.0
"attitude, belief and determination (zaf lovevinyl slight edit)","Attitude, Belief and Determination - Zaf Lovevinyl Slight Edit",martin l. dumas jr.,"Martin L. Dumas, Jr.;Zafsmusic",0.9677,0.7755
seaside week end,Seaside Weekend,antena,Antena,0.9677,1.0
"attitude, belief and determination (zaf lovevinyl slight edit)","Attitude, Belief and Determination - Zaf Lovevinyl Slight Edit","martin l. dumas, jr.","Martin L. Dumas, Jr.;Zafsmusic",0.9677,0.8
conversation of everyday-lovers,Conversation of everyday lovers,die fische,Die Fische,0.9677,1.0
springade & vck min kropp opp,Springande & Väck Min Kropp Opp,ray ragnhild adams,Ray Ragnhild Adams,0.9667,1.0
silly wasn't i?,Silly Wasn't I,cilla black,Cilla Black,0.9655,1.0
where'd you go,Where'd You Go?,horsegirl,Horsegirl,0.9655,1.0
it's me ( g 8 ),Its me ( g 8 ),actress,Actress,0.9655,1.0
alberto balsam,Alberto Balsalm,aphex twin,Aphex Twin,0.9655,1.0
don't shoot now,Dont shoot now,pollyfromthedirt,Pollyfromthedirt,0.9655,1.0
love song for the dead che #2,Love Song For The Dead Che *2,northern picture library,Northern Picture Library,0.9655,1.0
crushed by the wheels of industry (extended dance version),Crushed By The Wheels Of Industry - Extended Dance Version,heaven 17,Heaven 17,0.9655,1.0
o grande lance fazer romance,O Grande Lance É Fazer Romance,fernanda,Fernanda,0.9655,1.0
can't keep checking my phone,Can’t Keep Checking My Phone,unknown mortal orchestra,Unknown Mortal Orchestra,0.9643,1.0
love shadow smokey dialogue,Love Shadow (Smokey Dialogue),fashion,Fashion,0.9643,1.0
i'm believing (in love again),I'm Believing In Love Again,maureen mason,Maureen Mason,0.9643,1.0
first heart might dawn dart,Fist Heart Mighty Dawn Dart,t. rex,T. Rex,0.963,1.0
dedans dehors,"Dedans, dehors",nicole rieu,Nicole Rieu,0.963,1.0
vagina denata,Vagina Dentata,fat white family,Fat White Family,0.963,1.0
drifter's wife,Drifters Wife,j.j. cale,J.J. Cale,0.963,1.0
n. y. survivor,N.Y. Survivor,randy & the goats,Randy & The Goats,0.963,1.0
nipa nse hwee,Onipa Nse Hwee,nana tuffour,Nana Tuffour,0.963,1.0
mashed potatoe,Mashed Potato,witch,WITCH,0.963,1.0
heavens child,Heaven's Child,dwain vigil,Dwain Vigil,0.963,1.0
ahja ge da ba,Ah Ja Ge Da Ba,the southern university jazz ensemble,The Southern University Jazz Ensemble,0.963,1.0
neo gets wiser,Neo Gets Wise,jon iverson,Jon Iverson,0.963,1.0
livin for you,Living For You,kiss the sky,Kiss the Sky,0.963,1.0
marseille pt2 (like this),"MARSEILLE, PT2 (LIKE THIS!)",ashley iman,Ashley Iman,0.9615,1.0
you're lying!,You're Lying,sandra cross,Sandra Cross,0.96,1.0
gentle aberta,Gente Aberta,erasmo carlos,Erasmo Carlos,0.96,1.0
mothers stand for comfort,Mother Stands For Comfort,kate bush,Kate Bush,0.96,1.0
life on mars,Life On Mars?,david bowie,David Bowie,0.96,1.0
keep smillin',Keep Smilin',gabor szabo,Gábor Szabó,0.96,0.8182
what cha' gonna do for me,What Cha’ Gonna Do For Me,ned doheny,Ned Doheny,0.96,1.0
i mit efterr,I Mit Efterår,anne-tina,Anne-Tina,0.96,1.0
i dont wanna,I Don’t Wanna,fcukers,Fcukers,0.96,1.0
"sally, go 'round the roses",Sally Go Round The Roses,the jaynetts,The Jaynetts,0.96,1.0
